vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period,number plate,vehicle type
C9253,30582651,MAS005_F_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.492456, -29.312767","27.520937, -29.392948",12.27,16:49:55,0:32,135,0,7.5,10,18,0,Maseru,MAS005,F,Maseru Town Center,Abia,16:45:00,32,23.00625,16,peak,C9253,Mini-bus
ME087,30583209,MAS004_F_Maseru Town Center_Motimposo,Mamello Tente,Maseru_Association_Test,12/9/2020,"27.462021, -29.297262","27.517834, -29.308834",14.08,17:07:26,0:37,105,0,7,9,15,0,Maseru,MAS004,F,Maseru Town Center,Motimposo,17:00:00,37,22.83243243,17,peak,M E087,Mini-bus
C9253,30583525,MAS005_R_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.528635, -29.385048","27.492384, -29.312790",10.14,17:27:46,0:17,7.5,-1,7.5,3,1,0,Maseru,MAS005,R,Maseru Town Center,Abia,17:30:00,17,35.78823529,17,peak,C9253,Mini-bus
AE668,30584906,MAS001_Route_Test,Lerato  Mosotho,Maseru_Association_Test,12/9/2020,"27.485327, -29.307758","27.473076, -29.296350",2.05,17:49:43,0:03,7.5,0,7.5,2,1,0,Maseru,MAS001,Route,Test,0,17:45:00,3,41,17,peak,AE 668,Mini-bus
M5384,30586774,MAS006_F_Maseru Town Center_Lithabaneng,Bokang  Lichaba,Maseru_Association_Test,12/9/2020,"27.495800, -29.318909","27.557695, -29.377832",10.46,17:27:24,0:35,135,-18,7.5,9,18,0,Maseru,MAS006,F,Maseru Town Center,Lithabaneng,17:30:00,35,17.93142857,17,peak,M5384,Mini-bus
C9253,30591267,MAS005_F_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.494200, -29.316902","27.520983, -29.392990",11.74,17:49:16,0:25,112.5,0,7.5,8,15,0,Maseru,MAS005,F,Maseru Town Center,Abia,17:45:00,25,28.176,17,peak,C9253,Mini-bus
AE668,30591418,MAS001_Route_Test,Lerato  Mosotho,Maseru_Association_Test,12/9/2020,"27.492605, -29.313896","27.493010, -29.313711",0.39,18:14:54,0:02,22.5,0,7.5,3,3,0,Maseru,MAS001,Route,Test,0,18:15:00,2,11.7,18,peak,AE 668,Mini-bus
ME087,30593703,MAS004_F_Maseru Town Center_Motimposo,Mamello Tente,Maseru_Association_Test,12/9/2020,"27.474564, -29.297863","27.520433, -29.313231",13.15,17:56:26,0:32,98,0,7,9,14,0,Maseru,MAS004,F,Maseru Town Center,Motimposo,18:00:00,32,24.65625,17,peak,M E087,Mini-bus
C9253,30594156,MAS005_R_Maseru Town Center_Abia,Moikabi  Moemane,Maseru_Association_Test,12/9/2020,"27.514881, -29.342569","27.492455, -29.312708",4.4,18:26:37,0:05,15,0,7.5,2,2,0,Maseru,MAS005,R,Maseru Town Center,Abia,18:30:00,5,52.8,18,peak,C9253,Mini-bus
B858BGE,30606427,001_F_Area1_Town,Gorata Mogotsi,Gaborone,12/11/2020,"25.900936, -24.658607","25.918463, -24.606445",9.91,6:39:32,0:22,85,0,5,12,17,0,Gaborone,1,F,Area1,Town,6:45:00,22,27.02727273,6,peak,B 858 BGE,Mini-bus
